seed,dup,f1
1,0.0,0.5810108644307983
1,0.5,0.6023166023166023
1,0.75,0.6141348497156783
1,1.0,0.6302325581395349
1,1.25,0.6195864221615295
1,1.5,0.6235654169854629
1,2.0,0.6231830040998881
1,2.5,0.6355772846934938
1,3.0,0.6312662458225028
2,0.0,0.5795880149812734
2,0.5,0.6032423208191127
2,0.75,0.6144927536231884
2,1.0,0.6300395256916996
2,1.25,0.6360062893081762
2,1.5,0.6328725038402457
2,2.0,0.6398510242085661
2,2.5,0.6372145263946087
2,3.0,0.6331096196868009
3,0.0,0.5932047750229569
3,0.5,0.6219974715549936
3,0.75,0.6302146618063994
3,1.0,0.6449386503067485
3,1.25,0.630686198920586
3,1.5,0.6443514644351465
3,2.0,0.6468401486988847
3,2.5,0.6464272491669752
3,3.0,0.6413564319941024
