seed,variant,thresh,f1
1,no_pseudo,,0.6302325581395349
1,pseudo,0.85,0.6232339089481946
1,pseudo,0.9,0.6200941915227629
1,pseudo,0.95,0.6318234610917538
2,no_pseudo,,0.6300395256916996
2,pseudo,0.85,0.6365066876475216
2,pseudo,0.9,0.6303170920340294
2,pseudo,0.95,0.6366152629497825
3,no_pseudo,,0.6449386503067485
3,pseudo,0.85,0.6497263487099296
3,pseudo,0.9,0.6412037037037037
3,pseudo,0.95,0.6370998843038951
